CustomerID,Age,Income,IncomeValue,Channel,Tenure,Frequency,AvgSpend,MonthlySpend,Recency,RFM_Score,CLV,Segment
CUST000001,56,High,101675.68,Branch,38,13,477.5,517.3,14,14,1418.29,High
CUST000002,69,Medium,53153.95,Branch,23,12,182.94,182.94,85,10,254.23,Medium
CUST000003,46,Low,24910.99,Branch,17,4,93.59,31.2,251,3,26.54,Low
CUST000004,32,Low,22537.08,App,24,6,115.49,57.75,272,3,70.45,Low
CUST000005,60,Low,20440.67,App,26,6,154.58,77.29,123,4,100.41,Low
CUST000006,25,Medium,63240.61,App,120,17,262.43,371.78,4,14,1762.11,High
CUST000007,38,Medium,48853.39,App,28,3,267.61,66.9,40,6,110.25,Medium
CUST000008,56,Medium,69049.68,App,25,5,293.94,122.47,260,4,196.67,Medium
CUST000009,36,Very High,151820.42,App,29,11,551.03,505.11,1,14,1488.52,High
CUST000010,40,Low,18917.29,App,57,9,147.43,110.58,232,6,241.77,Medium
CUST000011,28,High,72939.49,Web,17,6,246.08,123.04,156,5,138.79,Medium
CUST000012,28,High,98909.36,Web,6,16,490.54,654.05,39,14,325.76,Medium
CUST000013,41,Low,21785.13,App,10,6,142.77,71.38,96,4,36.67,Low
CUST000014,53,Very High,225941.78,Web,12,25,821.45,1711.36,16,15,2592.56,High
CUST000015,57,Very High,156412.0,App,89,14,515.16,601.03,52,13,3477.48,High
CUST000016,41,Medium,64105.95,App,39,10,272.65,227.21,90,9,519.98,High
CUST000017,20,Medium,60979.63,Web,2,9,184.57,138.43,122,7,20.01,Low
CUST000018,39,High,97329.87,Branch,15,19,349.41,553.23,64,13,686.34,High
CUST000019,19,Medium,55238.87,Branch,32,11,255.16,233.89,5,13,446.11,High
CUST000020,41,High,85864.19,Web,83,9,397.66,298.25,4,12,1328.23,High
CUST000021,61,Low,25704.76,App,9,4,116.91,38.97,89,5,18.49,Low
CUST000022,47,Low,25611.49,App,65,8,211.75,141.16,121,7,391.97,High
CUST000023,55,Low,20097.14,Branch,16,6,131.45,65.73,2,7,51.71,Low
CUST000024,19,Medium,36238.11,Web,8,10,153.38,127.81,84,8,58.56,Low
CUST000025,38,High,85441.88,Web,6,16,289.51,386.02,97,11,172.37,Medium
CUST000026,50,Medium,56672.71,Branch,45,10,139.19,116.0,82,8,281.02,Medium
CUST000027,29,Medium,49550.21,Web,24,11,244.16,223.81,4,12,314.91,Medium
CUST000028,39,Medium,63673.33,App,18,13,168.09,182.09,27,11,199.13,Medium
CUST000029,61,Low,22301.75,App,46,8,184.57,123.05,64,7,236.74,Medium
CUST000030,42,High,117249.12,Web,23,19,466.66,738.88,321,11,1349.95,High
CUST000031,66,Medium,64901.27,App,2,12,267.15,267.15,74,11,38.55,Low
CUST000032,44,Very High,146765.37,Branch,8,12,557.02,557.02,9,14,428.29,High
CUST000033,59,Medium,52053.74,Web,69,10,199.34,166.12,111,8,524.27,High
CUST000034,45,Medium,49263.2,Web,3,8,260.2,173.47,14,10,31.83,Low
CUST000035,33,Very High,160945.23,Web,61,14,587.04,684.88,4,15,3355.82,High
CUST000036,32,Low,18880.23,App,7,6,178.9,89.45,6,8,35.43,Low
CUST000037,64,Low,25130.61,App,21,3,178.94,44.74,221,3,48.59,Low
CUST000038,68,Medium,45192.71,Web,55,2,238.53,39.75,30,6,113.89,Medium
CUST000039,61,Medium,53741.22,Branch,31,7,241.49,140.87,77,8,251.35,Medium
CUST000040,69,Medium,72479.77,Web,4,9,279.4,209.55,245,7,60.48,Low
CUST000041,20,Low,22389.02,Branch,51,4,126.39,42.13,56,5,93.59,Low
CUST000042,54,Very High,137701.22,App,10,12,550.26,550.26,24,13,523.85,High
CUST000043,68,High,78355.39,App,18,5,329.86,137.44,66,6,165.59,Medium
CUST000044,24,Low,26260.59,Web,5,12,131.97,131.97,176,7,36.28,Low
CUST000045,38,Low,26507.76,Web,95,7,238.75,139.27,34,8,497.55,High
CUST000046,26,High,112228.7,App,19,9,376.12,282.09,143,9,455.26,High
CUST000047,56,Medium,74004.48,Web,1,8,296.61,197.74,175,6,15.91,Low
CUST000048,35,Medium,45192.25,App,18,13,132.59,143.64,59,10,157.95,Medium
CUST000049,21,Low,19407.15,App,3,5,142.35,59.31,43,6,10.0,Low
CUST000050,42,Low,22679.4,Web,51,5,186.11,77.55,92,4,183.54,Medium
CUST000051,31,Medium,52780.93,App,15,8,260.56,173.71,19,10,154.06,Medium
CUST000052,67,High,87930.24,Web,11,10,263.58,219.65,83,9,193.8,Medium
CUST000053,26,Low,23383.0,Web,41,6,292.37,146.18,365,5,280.24,Medium
CUST000054,43,Very High,161104.23,Branch,5,11,694.01,636.17,124,11,377.37,Medium
CUST000055,19,Low,25075.81,Web,2,8,205.85,137.24,57,7,14.26,Low
CUST000056,37,High,111947.2,App,44,18,432.82,649.23,70,13,2096.34,High
CUST000057,45,Medium,42141.31,Branch,32,3,288.12,72.03,224,3,126.18,Medium
